Liliaceae,Goldenbowl Mariposa Lily (Calochortus concolor)
Liliaceae,Cox's Mariposa Lily (Calochortus coxii)
Liliaceae,Calochortus davidsonianus
Liliaceae,Calochortus douglasianus
Liliaceae,Dunn's Mariposa Lily (Calochortus dunnii)
Liliaceae,Elegant Mariposa Lily (Calochortus elegans)
Liliaceae,Calochortus elegans
Liliaceae,Selway Mariposa Lily (Calochortus elegans)
Liliaceae,White Mariposa Lily (Calochortus eurycarpus)
Liliaceae,Inyo County Star-tulip (Calochortus excavatus)
Liliaceae,Winding Mariposa Lily (Calochortus flexuosus)
Liliaceae,Greene's Mariposa Lily (Calochortus greenei)
Liliaceae,Gunnison's Mariposa Lily (Calochortus gunnisonii)
Liliaceae,Howell's Mariposa Lily (Calochortus howellii)
Liliaceae,Sexton Mountain Mariposa Lily (Calochortus indecorus)
Liliaceae,Plain Mariposa Lily (Calochortus invenustus)
Liliaceae,Desert Mariposa Lily (Calochortus kennedyi)
Liliaceae,Smokey Mariposa (Calochortus leichtlinii)
Liliaceae,Calochortus lobbii
Liliaceae,Longbeard Mariposa Lily (Calochortus longebarbatus)
Liliaceae,Yellow Mariposa Lily (Calochortus luteus)
Liliaceae,Calochortus luteus
Liliaceae,Lyall's Mariposa Lily (Calochortus lyallii)
Liliaceae,Sagebrush Mariposa Lily (Calochortus macrocarpus)
Liliaceae,Nez Perce Mariposa Lily (Calochortus macrocarpus)
Liliaceae,Calochortus maculosus
Liliaceae,Calochortus maweanus
Liliaceae,Sierra Mariposa Lily (Calochortus minimus)
Liliaceae,Shasta River Mariposa Lily (Calochortus monanthus)
Liliaceae,Yellow Star-tulip (Calochortus monophyllus)
Liliaceae,Calochortus nanus
Liliaceae,Broadfruit Mariposa Lily (Calochortus nitidus)
Liliaceae,Naked Mariposa Lily (Calochortus nudus)
Liliaceae,Calochortus nudus
Liliaceae,Sego Lily (Calochortus nuttallii)
Liliaceae,Calochortus nuttallii
Liliaceae,San Luis Mariposa Lily (Calochortus obispoensis)
Liliaceae,Palmer's Mariposa Lily (Calochortus palmeri)
Liliaceae,Munz's Mariposa Lily (Calochortus palmeri)
Liliaceae,Calochortus paludicola
Liliaceae,Panamint Mountain Mariposa Lily (Calochortus panamintensis)
Liliaceae,Siskiyou Mariposa Lily (Calochortus persistens)
Liliaceae,Plummer's Mariposa Lily (Calochortus plummerae)
Liliaceae,Mt. Diablo Fairy-lantern (Calochortus pulchellus)
Liliaceae,Calochortus purdyi
Liliaceae,Mariposa Lily (Calochortus Pursh)
Liliaceae,Cedars Mariposa Lily (Calochortus raichei)
Liliaceae,Calochortus rhodothecus
Liliaceae,Calochortus selwayensis
Liliaceae,Calochortus shastensis
Liliaceae,San Luis Obispo Mariposa Lily (Calochortus simulans)
Liliaceae,Splendid Mariposa Lily (Calochortus splendens)
Liliaceae,Alkali Mariposa Lily (Calochortus striatus)
